angle (°),throttle (us),raw_reading 1,raw_reading 2,raw_reading 3,raw_reading 4,raw_reading 5,raw_reading AVG,force (N),
0,1125,2608,2556,2548,2496,2602,2562,0.057581871,0.057581871
15,1125,-6819,-6698,-6648,-6763,-6639,-6713.4,-0.150886079,0.150886079
30,1125,-14957,-15138,-15151,-15211,-15344,-15160.2,-0.340730946,0.340730946
45,1125,-18254,-18313,-18352,-18162,-17799,-18176,-0.408512136,0.408512136
60,1125,-21626,-20960,-20874,-20711,-21591,-21152.4,-0.475407796,0.475407796
75,1125,-23373,-23178,-23835,-23585,-23348,-23463.8,-0.527357342,0.527357342
90,1125,-25138,-25097,-25272,-25168,-25455,-25226,-0.566963421,0.566963421
,,,,,,,,,
,TARE,,,,,,,,
90,1000,436478,44493.17023,,,,,,
